Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_5,GO:0070062~extracellular exosome,73,33.48623853211009,9.431899899675535E-10,"213071_AT, 202458_AT, 211719_X_AT, 203180_AT, 213693_S_AT, 206595_AT, 203717_AT, 202609_AT, 205710_AT, 201474_S_AT, 203716_S_AT, 203386_AT, 214702_AT, 212464_S_AT, 206884_S_AT, 214308_S_AT, 205876_AT, 201843_S_AT, 213068_AT, 211696_X_AT, 211699_X_AT, 211725_S_AT, 214307_AT, 202286_S_AT, 209474_S_AT, 207789_S_AT, 207847_S_AT, 217232_X_AT, 213664_AT, 201926_S_AT, 209395_AT, 203474_AT, 206529_X_AT, 205713_S_AT, 214803_AT, 203908_AT, 205485_AT, 209687_AT, 209514_S_AT, 209469_AT, 205382_S_AT, 200660_AT, 203240_AT, 217414_X_AT, 209470_S_AT, 205083_AT, 204918_S_AT, 212224_AT, 205174_S_AT, 203960_S_AT, 207808_S_AT, 201842_S_AT, 202826_AT, 210605_S_AT, 222294_S_AT, 203387_S_AT, 209473_AT, 204018_X_AT, 208949_S_AT, 204328_AT, 203854_AT, 211429_S_AT, 213422_S_AT, 209458_X_AT, 214433_S_AT, 201650_AT, 201487_AT, 208454_S_AT, 202071_AT, 204493_AT, 211478_S_AT, 204042_AT, 202357_S_AT, 215380_S_AT, 202528_AT, 204917_S_AT, 210495_X_AT, 214414_X_AT, 212843_AT, 204151_X_AT, 202833_S_AT, 203021_AT, 205221_AT, 217127_AT, 203980_AT, 200701_AT, 216442_X_AT, 209116_X_AT, 204623_AT, 218313_S_AT, 206517_AT, 207691_X_AT, 201666_AT, 209515_S_AT, 214701_S_AT, 206209_S_AT, 212531_AT, 221577_X_AT, 209396_S_AT, 202295_S_AT, 219630_AT, 211745_X_AT",200,2811,15514,2.014446816079687,2.697522952788134E-7,2.697523371307203E-7,2.5277491731130436E-7
GOTERM_CC_5,GO:0044459~plasma membrane part,63,28.899082568807337,5.701621291328078E-7,"211719_X_AT, 212110_AT, 213693_S_AT, 206765_AT, 209473_AT, 213241_AT, 208228_S_AT, 209228_X_AT, 208949_S_AT, 204105_S_AT, 203717_AT, 221266_S_AT, 212850_S_AT, 202609_AT, 205051_S_AT, 210473_S_AT, 206070_S_AT, 205710_AT, 203638_S_AT, 205728_AT, 218856_AT, 201650_AT, 201474_S_AT, 210342_S_AT, 203716_S_AT, 214702_AT, 203510_AT, 208161_S_AT, 212464_S_AT, 205357_S_AT, 205016_AT, 205876_AT, 206043_S_AT, 213423_X_AT, 204124_AT, 213135_AT, 202071_AT, 205498_AT, 211478_S_AT, 202286_S_AT, 204932_AT, 209474_S_AT, 37408_AT, 207789_S_AT, 210495_X_AT, 209447_AT, 207847_S_AT, 212843_AT, 213664_AT, 201926_S_AT, 210471_S_AT, 211343_S_AT, 202920_AT, 206529_X_AT, 205490_X_AT, 213308_AT, 203908_AT, 205485_AT, 218613_AT, 209687_AT, 221073_S_AT, 209514_S_AT, 204288_S_AT, 216442_X_AT, 204401_AT, 203355_S_AT, 206517_AT, 207691_X_AT, 209515_S_AT, 214701_S_AT, 209227_AT, 206209_S_AT, 218309_AT, 209990_S_AT, 206806_AT, 204686_AT, 212992_AT, 210605_S_AT, 222294_S_AT",200,2635,15514,1.8546148007590135,1.630531208263175E-4,8.153318446599152E-5,7.640172530379625E-5
GOTERM_BP_5,GO:0048513~animal organ development,70,32.11009174311927,3.444846490021974E-6,"221900_AT, 203180_AT, 207980_S_AT, 202436_S_AT, 203911_AT, 208228_S_AT, 209737_AT, 208949_S_AT, 221266_S_AT, 212850_S_AT, 205051_S_AT, 217853_AT, 205710_AT, 203638_S_AT, 49452_AT, 214354_X_AT, 201650_AT, 201474_S_AT, 210342_S_AT, 205357_S_AT, 206884_S_AT, 205016_AT, 201843_S_AT, 206043_S_AT, 209810_AT, 214505_S_AT, 203058_S_AT, 203221_AT, 208399_S_AT, 219077_S_AT, 213135_AT, 202071_AT, 204493_AT, 211725_S_AT, 205498_AT, 203060_S_AT, 202286_S_AT, 204917_S_AT, 214930_AT, 204932_AT, 213936_X_AT, 201540_AT, 202437_S_AT, 210471_S_AT, 209395_AT, 209292_AT, 211343_S_AT, 211596_S_AT, 202311_S_AT, 202920_AT, 210298_X_AT, 205713_S_AT, 219049_AT, 205490_X_AT, 208025_S_AT, 210299_S_AT, 205485_AT, 209687_AT, 209822_S_AT, 204288_S_AT, 209469_AT, 203256_AT, 219778_AT, 203349_S_AT, 220204_S_AT, 202310_S_AT, 209470_S_AT, 202435_S_AT, 204918_S_AT, 219195_AT, 208712_AT, 204755_X_AT, 201666_AT, 203960_S_AT, 202908_AT, 204753_S_AT, 209173_AT, 201842_S_AT, 207144_S_AT, 37004_AT, 209396_S_AT, 202295_S_AT, 219743_AT, 203685_AT, 202826_AT, 202589_AT, 218559_S_AT, 220203_AT",213,3129,16130,1.694131980548466,0.008312138960689053,0.007409327804382568,0.0072013037372075
GOTERM_BP_5,GO:0009887~organ morphogenesis,32,14.678899082568808,6.118354916913764E-6,"221900_AT, 203180_AT, 209292_AT, 211343_S_AT, 211596_S_AT, 202311_S_AT, 210298_X_AT, 207980_S_AT, 205713_S_AT, 208228_S_AT, 219049_AT, 209737_AT, 208025_S_AT, 210299_S_AT, 212850_S_AT, 205485_AT, 203638_S_AT, 214354_X_AT, 205016_AT, 201843_S_AT, 219778_AT, 203349_S_AT, 209810_AT, 214505_S_AT, 202310_S_AT, 204918_S_AT, 203221_AT, 219077_S_AT, 213135_AT, 205498_AT, 202286_S_AT, 204917_S_AT, 204932_AT, 213936_X_AT, 201842_S_AT, 201540_AT, 207144_S_AT, 37004_AT, 202295_S_AT, 219743_AT, 203685_AT, 218559_S_AT",213,992,16130,2.4428290171134335,0.014715472696491205,0.007409327804382568,0.0072013037372075
GOTERM_CC_5,GO:0098590~plasma membrane region,30,13.761467889908257,8.931539260599984E-6,"211719_X_AT, 211343_S_AT, 213693_S_AT, 202920_AT, 206529_X_AT, 213308_AT, 203717_AT, 203908_AT, 212850_S_AT, 202609_AT, 218613_AT, 205710_AT, 221073_S_AT, 201474_S_AT, 209514_S_AT, 203716_S_AT, 214702_AT, 203510_AT, 204288_S_AT, 212464_S_AT, 216442_X_AT, 205016_AT, 204124_AT, 213135_AT, 203355_S_AT, 206517_AT, 211478_S_AT, 202286_S_AT, 209515_S_AT, 214701_S_AT, 206209_S_AT, 218309_AT, 209990_S_AT, 206806_AT, 210495_X_AT, 204686_AT, 207847_S_AT, 209447_AT, 213664_AT, 201926_S_AT, 222294_S_AT",200,936,15514,2.4862179487179485,0.0025511718517903237,8.514734095105318E-4,7.978841739469318E-4
GOTERM_BP_5,GO:0016477~cell migration,34,15.59633027522936,3.1501840928240794E-5,"211719_X_AT, 202311_S_AT, 207980_S_AT, 202436_S_AT, 209737_AT, 208949_S_AT, 204105_S_AT, 206214_AT, 203717_AT, 204513_S_AT, 202609_AT, 205051_S_AT, 217853_AT, 206070_S_AT, 209687_AT, 201474_S_AT, 203716_S_AT, 214702_AT, 213103_AT, 203510_AT, 204288_S_AT, 212464_S_AT, 205357_S_AT, 216442_X_AT, 209469_AT, 212157_AT, 202310_S_AT, 209470_S_AT, 202435_S_AT, 208399_S_AT, 213135_AT, 202071_AT, 219195_AT, 211478_S_AT, 201430_S_AT, 201666_AT, 202286_S_AT, 214701_S_AT, 204606_AT, 207808_S_AT, 210495_X_AT, 202295_S_AT, 202350_S_AT, 203685_AT, 202437_S_AT",213,1184,16130,2.174612993274965,0.07348974320751833,0.02543248624273307,0.024718444515026274
GOTERM_BP_5,GO:0009966~regulation of signal transduction,60,27.522935779816514,4.359296065517756E-5,"211719_X_AT, 213693_S_AT, 207980_S_AT, 203786_S_AT, 202436_S_AT, 203911_AT, 208228_S_AT, 209737_AT, 208949_S_AT, 209325_S_AT, 212850_S_AT, 202609_AT, 205051_S_AT, 203638_S_AT, 205728_AT, 201474_S_AT, 214702_AT, 213103_AT, 212464_S_AT, 201487_AT, 205016_AT, 221840_AT, 208892_S_AT, 203221_AT, 208399_S_AT, 219077_S_AT, 213135_AT, 204493_AT, 211725_S_AT, 205498_AT, 209457_AT, 211653_X_AT, 204917_S_AT, 204932_AT, 210495_X_AT, 207847_S_AT, 202437_S_AT, 201926_S_AT, 209395_AT, 202311_S_AT, 208025_S_AT, 216944_S_AT, 217127_AT, 210372_S_AT, 218613_AT, 209687_AT, 221073_S_AT, 221016_S_AT, 218858_AT, 204014_AT, 216442_X_AT, 203256_AT, 204401_AT, 220204_S_AT, 202310_S_AT, 202435_S_AT, 204918_S_AT, 209699_X_AT, 203710_AT, 219195_AT, 203355_S_AT, 208712_AT, 201666_AT, 214701_S_AT, 208893_S_AT, 204606_AT, 202908_AT, 209173_AT, 206806_AT, 207144_S_AT, 221577_X_AT, 204686_AT, 209396_S_AT, 202295_S_AT, 219743_AT, 203685_AT, 219093_AT, 205501_AT, 220203_AT",213,2728,16130,1.6655652389409774,0.10024074510660941,0.02639553767671001,0.025654457345571993
GOTERM_CC_5,GO:0060205~cytoplasmic membrane-bounded vesicle lumen,9,4.128440366972478,6.130086526123643E-5,"205382_S_AT, 211719_X_AT, 205612_AT, 217414_X_AT, 211696_X_AT, 211699_X_AT, 204018_X_AT, 202833_S_AT, 201666_AT, 214701_S_AT, 207808_S_AT, 211429_S_AT, 210495_X_AT, 214414_X_AT, 204870_S_AT, 209458_X_AT, 217232_X_AT, 214702_AT, 212464_S_AT, 216442_X_AT, 209116_X_AT, 211745_X_AT",200,105,15514,6.648857142857143,0.017379783390446324,0.004383011866178404,0.004107157972502841
GOTERM_BP_5,GO:0048468~cell development,47,21.55963302752294,6.390357395212953E-5,"211719_X_AT, 213839_AT, 207980_S_AT, 203911_AT, 208228_S_AT, 213241_AT, 209737_AT, 204105_S_AT, 212850_S_AT, 205051_S_AT, 206070_S_AT, 203638_S_AT, 205728_AT, 218856_AT, 213422_S_AT, 201474_S_AT, 201650_AT, 214702_AT, 203510_AT, 212464_S_AT, 202709_AT, 208399_S_AT, 213135_AT, 202071_AT, 204042_AT, 201430_S_AT, 202286_S_AT, 214930_AT, 210495_X_AT, 212843_AT, 209292_AT, 202311_S_AT, 202920_AT, 208025_S_AT, 205485_AT, 203766_S_AT, 209687_AT, 209822_S_AT, 204288_S_AT, 216442_X_AT, 209469_AT, 203349_S_AT, 220204_S_AT, 212157_AT, 202310_S_AT, 209470_S_AT, 214701_S_AT, 204606_AT, 207144_S_AT, 221577_X_AT, 202350_S_AT, 219743_AT, 203685_AT, 202826_AT, 202589_AT, 220203_AT",213,1968,16130,1.8085375396007481,0.1434506179607119,0.030954891222411542,0.030085802616662584
GOTERM_BP_5,GO:0001501~skeletal system development,19,8.715596330275229,8.645039122038084E-5,"209395_AT, 211343_S_AT, 202311_S_AT, 207980_S_AT, 205713_S_AT, 219049_AT, 208228_S_AT, 208025_S_AT, 205485_AT, 205051_S_AT, 203638_S_AT, 201843_S_AT, 220204_S_AT, 202310_S_AT, 203058_S_AT, 219077_S_AT, 205498_AT, 203060_S_AT, 201666_AT, 203960_S_AT, 204932_AT, 201842_S_AT, 209396_S_AT, 202589_AT, 220203_AT",213,490,16130,2.9363801858771676,0.18899280472209234,0.0348971412559604,0.03391737015546275
