Table of downregulated genes,,,,,,,,Table of gene symbols and names for downregulated genes,,,,,
This table was created by taking the consistently expressed genes in all 4 datasets and filtering for log2FC<-1 and p vlaue<0.05 in the limma output for Dataset 1. ,,,,,,,,This table was created by taking the geneID column from the table on the left and looking for the genes in BIOGPS. ,,,,,
logFC: estimate of the log2-fold-change corresponding to the contrast,AveExpr: average log2-expression for the probe over all arrays and channels,t: moderated t-statistic,P.Value: raw p-value,adj.P.Val: ajusted p-value,B: log-odds that the gene is differentially expressed,"Gene ID: affy probe ID, these were used to look for the gene symbols in BIOGPS ",,,the affy probe ID taken from geneID column from table on the left,Gene symbol,Gene ID,,
logFC,AveExpr,t,P.Value,adj.P.Val,B,geneID,,NO.,QUERY,SYMBOL,ID,NAME,SPECIES
-3.896396003,8.446024186,-21.72032902,0,0.00000004354268708,17.42189305,214735_at,,1,214735_at,IPCEF1,26034,interaction protein for cytohesin exchange factors 1,human
-2.536899186,7.676915047,-15.3100255,0.0000000001628762699,0.000002968420019,13.75167899,203710_at,,2,203710_at,ITPR1,3708,"inositol 1,4,5-trisphosphate receptor type 1",human
-3.730661562,5.991407617,-13.88421921,0.0000000006378653411,0.000003717779166,12.62736567,220723_s_at,,3,220723_s_at,CWH43,80157,cell wall biogenesis 43 C-terminal homolog,human
-3.747716684,6.007116339,-13.7790117,0.0000000007088463349,0.000003717779166,12.53862034,203908_at,,4,203908_at,SLC4A4,8671,solute carrier family 4 member 4,human
-2.87175477,9.086249708,-13.45611239,0.0000000009842375857,0.000004444970265,12.26093743,202350_s_at,,5,202350_s_at,MATN2,4147,matrilin 2,human
-2.776744043,5.265888825,-13.12460415,0.000000001388459325,0.00000536310482,11.9672824,207789_s_at,,6,207789_s_at,DPP6,1804,dipeptidyl peptidase like 6,human
-2.057848322,5.071623122,-12.83981031,0.000000001877141819,0.00000641454556,11.70782965,214307_at,,7,214307_at,HGD,3081,"homogentisate 1,2-dioxygenase",human
-2.98539995,4.966305772,-12.30873169,0.000000003345021321,0.00000866736488,11.20551163,209470_s_at,,8,209470_s_at,GPM6A,2823,glycoprotein M6A,human
-2.254120597,6.187726116,-12.00459951,0.000000004700859521,0.00001028077977,10.9065434,205498_at,,9,205498_at,GHR,2690,growth hormone receptor,human
-4.523502084,7.942049648,-11.94902068,0.000000005006301229,0.00001052767383,10.85098831,205413_at,,10,205413_at,MPPED2,744,metallophosphoesterase domain containing 2,human
-2.358823054,6.795760396,-11.43194487,0.000000009098982838,0.00001658289622,10.3200511,216944_s_at,,11,216944_s_at,ITPR1,3708,"inositol 1,4,5-trisphosphate receptor type 1",human
-2.41732089,5.131207749,-11.30485043,0.00000001057370662,0.00001806616904,10.18555226,214745_at,,12,214745_at,PLCH1,23007,phospholipase C eta 1,human
-1.624119236,7.793146673,-11.24970491,0.00000001129057284,0.00001870642637,10.12669035,213103_at,,13,213103_at,STARD13,90627,StAR related lipid transfer domain containing 13,human
-2.5710816,6.603823377,-11.01031704,0.00000001505561931,0.00002192479193,9.867579509,209469_at,,14,209469_at,GPM6A,2823,glycoprotein M6A,human
-2.276556964,6.976489269,-10.82904464,0.0000000187839425,0.00002496701868,9.667419827,205876_at,,15,205876_at,LIFR,3977,LIF receptor subunit alpha,human
-2.294343986,7.174732287,-10.79299669,0.00000001963569828,0.00002496701868,9.62720291,205221_at,,16,205221_at,HGD,3081,"homogentisate 1,2-dioxygenase",human
-3.718365669,7.92184471,-10.10783761,0.00000004666830982,0.00004324728541,8.835861628,204623_at,,17,204623_at,TFF3,7033,trefoil factor 3,human
-2.610367637,6.798862915,-9.771362528,0.00000007258671245,0.00005923400751,8.427753399,207981_s_at,,18,207981_s_at,ESRRG,2104,estrogen related receptor gamma,human
-2.342097963,8.016397739,-9.673605735,0.00000008270291163,0.00006553306802,8.306679156,201843_s_at,,19,201843_s_at,EFEMP1,2202,EGF containing fibulin extracellular matrix protein 1,human
-3.027636777,6.866762326,-9.579890306,0.00000009380871276,0.00007065243839,8.189530937,220203_at,,20,220203_at,BMP8A,353500,bone morphogenetic protein 8a,human
-4.469427006,8.375240009,-9.497346054,0.0000001048990023,0.00007546517041,8.08546354,210342_s_at,,21,210342_s_at,TPO,7173,thyroid peroxidase,human
-3.769182491,6.03682654,-9.156815199,0.0000001676080922,0.0001031043794,7.647231296,209613_s_at,,22,209613_s_at,ADH1B,125,"alcohol dehydrogenase 1B (class I), beta polypeptide",human
-3.077222512,4.607851474,-9.098451368,0.0000001818546232,0.0001069129196,7.570658697,219643_at,,23,219643_at,LRP1B,53353,LDL receptor related protein 1B,human
-4.259778898,6.063649356,-8.96968126,0.000000218007528,0.0001203996121,7.40017181,206457_s_at,,24,206457_s_at,DIO1,1733,iodothyronine deiodinase 1,human
-3.073690467,7.20686504,-8.85135316,0.000000257954263,0.0001343204698,7.241619565,211276_at,,25,211276_at,TCEAL2,140597,transcription elongation factor A like 2,human
-2.366805284,4.546929369,-8.798639525,0.0000002781738712,0.0001408255223,7.170397991,220724_at,,26,220724_at,CWH43,80157,cell wall biogenesis 43 C-terminal homolog,human
-1.850204103,9.43534293,-8.739617754,0.0000003028134865,0.0001518929117,7.09021975,201842_s_at,,27,201842_s_at,EFEMP1,2202,EGF containing fibulin extracellular matrix protein 1,human
-1.799777611,6.439440031,-8.711639572,0.0000003152884579,0.0001550655035,7.052051935,219077_s_at,,28,219077_s_at,WWOX,51741,WW domain containing oxidoreductase,human
-2.858965948,6.054386997,-8.710899008,0.0000003156259386,0.0001550655035,7.051040249,206806_at,,29,206806_at,DGKI,9162,diacylglycerol kinase iota,human
-2.055713067,4.654719136,-8.502558944,0.0000004275413929,0.0001855224259,6.763519505,205083_at,,30,205083_at,AOX1,316,aldehyde oxidase 1,human
-1.637889379,5.463117905,-8.432859221,0.0000004737689134,0.0001977352316,6.666025626,221016_s_at,,31,221016_s_at,TCF7L1,83439,transcription factor 7 like 1,human
-2.836632244,6.625946505,-8.302379607,0.000000575057926,0.0002261963461,6.481734884,219877_at,,32,219877_at,ZMAT4,79698,zinc finger matrin-type 4,human
-1.675949349,8.430948387,-7.948372045,0.0000009829298084,0.0003218065106,5.969857382,209242_at,,33,209242_at,PEG3,5178,paternally expressed 3,human
-1.548428916,6.702833874,-7.873278958,0.000001103497402,0.0003507774446,5.859011588,213839_at,,34,213839_at,CLMN,79789,calmin,human
-1.807109339,5.804180801,-7.839899201,0.000001161999881,0.0003609792243,5.80948179,213679_at,,35,213679_at,TTC30A,92104,tetratricopeptide repeat domain 30A,human
-4.214785391,7.399121676,-7.831246194,0.00000117769212,0.0003637870998,5.796616277,205350_at,,36,205350_at,CRABP1,1381,cellular retinoic acid binding protein 1,human
