Table of downregulated genes,,,,,,,Table of gene symbols and names for downregulated genes,,,,,,
This table was created by taking the consistently expressed genes in all 4 datasets and filtering for log2FC<-1 and p vlaue<0.05 in the limma output for Dataset 1. ,,,,,,,This table was created by taking the geneID column from the table on the left and looking for the genes in BIOGPS. ,,,,,,
logFC: estimate of the log2-fold-change corresponding to the contrast,AveExpr: average log2-expression for the probe over all arrays and channels,t: moderated t-statistic,P.Value: raw p-value,adj.P.Val: ajusted p-value,"Gene ID: affy probe ID, these were used to look for the gene symbols in BIOGPS ",,,the affy probe ID taken from geneID column from table on the left,Gene symbol,Gene ID,,,
logFC,AveExpr,t,P.Value,adj.P.Val,geneID,,NO.,QUERY,SYMBOL,ID,NAME,SPECIES,
-3.896396003,8.446024186,-20.25405254,0,0.00000006122677296,214735_at,,1,214735_at,IPCEF1,26034,interaction protein for cytohesin exchange factors 1,human,
-2.536899186,7.676915047,-13.72262956,0.0000000003953736373,0.000006132180642,203710_at,,2,203710_at,ITPR1,3708,"inositol 1,4,5-trisphosphate receptor type 1",human,
-3.730661562,5.991407617,-12.90529703,0.00000000099863529,0.000007091565939,220723_s_at,,3,220723_s_at,CWH43,80157,cell wall biogenesis 43 C-terminal homolog,human,
-3.747716684,6.007116339,-12.81192842,0.000000001104795208,0.000007091565939,203908_at,,4,203908_at,SLC4A4,8671,solute carrier family 4 member 4,human,
-2.87175477,9.086249708,-12.22361838,0.000000001983850003,0.000008807784492,202350_s_at,,5,202350_s_at,MATN2,4147,matrilin 2,human,
-2.776744043,5.265888825,-11.88134139,0.000000002901547266,0.000009986496227,207789_s_at,,6,207789_s_at,DPP6,1804,dipeptidyl peptidase like 6,human,
-2.057848322,5.071623122,-11.1986243,0.000000006177885181,0.00001583985994,214307_at,,7,214307_at,HGD,3081,"homogentisate 1,2-dioxygenase",human,
-2.98539995,4.966305772,-11.2242472,0.000000006344386696,0.00001583985994,209470_s_at,,8,209470_s_at,GPM6A,2823,glycoprotein M6A,human,
-4.523502084,7.942049648,-11.25420425,0.000000006773929944,0.00001610280955,205413_at,,9,205413_at,MPPED2,744,metallophosphoesterase domain containing 2,human,
-2.254120597,6.187726116,-10.60377708,0.00000001293354695,0.00002438419585,205498_at,,10,205498_at,GHR,2690,growth hormone receptor,human,
-2.358823054,6.795760396,-10.15715877,0.00000002297448456,0.00003925406073,216944_s_at,,11,216944_s_at,ITPR1,3708,"inositol 1,4,5-trisphosphate receptor type 1",human,
-2.41732089,5.131207749,-10.0747429,0.00000002566251318,0.00004251811843,214745_at,,12,214745_at,PLCH1,23007,phospholipase C eta 1,human,
-2.5710816,6.603823377,-9.88390697,0.00000003329473394,0.00005201113081,209469_at,,13,209469_at,GPM6A,2823,glycoprotein M6A,human,
-2.276556964,6.976489269,-9.577852001,0.00000004919183235,0.00006241097709,205876_at,,14,205876_at,LIFR,3977,LIF receptor subunit alpha,human,
-2.294343986,7.174732287,-9.555636687,0.00000005074933808,0.00006241097709,205221_at,,15,205221_at,HGD,3081,"homogentisate 1,2-dioxygenase",human,
-1.624119236,7.793146673,-9.427757742,0.00000005839656985,0.0000653523936,213103_at,,16,213103_at,STARD13,90627,StAR related lipid transfer domain containing 13,human,
-3.718365669,7.92184471,-9.392816738,0.00000006994779939,0.0000721584138,204623_at,,17,204623_at,TFF3,7033,trefoil factor 3,human,
-4.469427006,8.375240009,-8.938408908,0.0000001388925987,0.00012449103,210342_s_at,,18,210342_s_at,TPO,7173,thyroid peroxidase,human,
-2.610367637,6.798862915,-8.786748522,0.0000001517576342,0.0001299869343,207981_s_at,,19,207981_s_at,ESRRG,2104,estrogen related receptor gamma,human,
-3.769182491,6.03682654,-8.517801978,0.0000002441730593,0.0001804075949,209613_s_at,,20,209613_s_at,ADH1B,125,"alcohol dehydrogenase 1B (class I), beta polypeptide",human,
-4.259778898,6.063649356,-8.415818058,0.0000002935452915,0.0002036372479,206457_s_at,,21,206457_s_at,DIO1,1733,iodothyronine deiodinase 1,human,
-3.077222512,4.607851474,-8.320735184,0.0000003113531447,0.0002101633727,219643_at,,22,219643_at,LRP1B,53353,LDL receptor related protein 1B,human,
-2.858965948,6.054386997,-7.909467236,0.0000005731737148,0.0003165482107,206806_at,,23,206806_at,DGKI,9162,diacylglycerol kinase iota,human,
-2.366805284,4.546929369,-7.820804578,0.0000006345102744,0.000335425753,220724_at,,24,220724_at,CWH43,80157,cell wall biogenesis 43 C-terminal homolog,human,
-2.836632244,6.625946505,-7.532518977,0.000001035477991,0.0004602825949,219877_at,,25,219877_at,ZMAT4,79698,zinc finger matrin-type 4,human,
-1.799777611,6.439440031,-7.438448415,0.000001120894192,0.0004902791196,219077_s_at,,26,219077_s_at,WWOX,51741,WW domain containing oxidoreductase,human,
-2.055713067,4.654719136,-7.414632046,0.000001182292284,0.0005010994622,205083_at,,27,205083_at,AOX1,316,aldehyde oxidase 1,human,
-4.214785391,7.399121676,-7.34251735,0.000001555904534,0.0006301413362,205350_at,,28,205350_at,CRABP1,1381,cellular retinoic acid binding protein 1,human,
-2.553783805,7.125185354,-6.783714118,0.000003480755475,0.001093737388,203060_s_at,,29,203060_s_at,PAPSS2,9060,3'-phosphoadenosine 5'-phosphosulfate synthase 2,human,
-1.675949349,8.430948387,-6.70090277,0.000003772330905,0.001158720181,209242_at,,30,209242_at,PEG3,5178,paternally expressed 3,human,
-1.807109339,5.804180801,-6.698760043,0.000003813702367,0.00116488367,213679_at,,31,213679_at,TTC30A,92104,tetratricopeptide repeat domain 30A,human,
-2.722361631,6.426498013,-6.605122023,0.000004790399488,0.001371283204,204755_x_at,,32,204755_x_at,HLF,3131,"HLF transcription factor, PAR bZIP family member",human,
-1.548428916,6.702833874,-6.535830896,0.000004976047707,0.001388088818,213839_at,,33,213839_at,CLMN,79789,calmin,human,
-3.086979231,9.17658352,-6.467448705,0.000006267067363,0.001663358777,206529_x_at,,34,206529_x_at,SLC26A4,5172,solute carrier family 26 member 4,human,
-2.498558292,6.747785856,-6.427157401,0.000006409540138,0.001684815418,205051_s_at,,35,205051_s_at,KIT,3815,"KIT proto-oncogene, receptor tyrosine kinase",human,
-1.891161328,4.377183646,-6.326188576,0.000007309773488,0.00181123064,209612_s_at,,36,209612_s_at,ADH1B,125,"alcohol dehydrogenase 1B (class I), beta polypeptide",human,
-2.081368782,4.296645962,-6.259299984,0.000008336447969,0.001981718664,214930_at,,37,214930_at,SLITRK5,26050,SLIT and NTRK like family member 5,human,
-2.281264418,7.164235112,-6.212897117,0.000009192514932,0.002132966915,203911_at,,38,203911_at,RAP1GAP,5909,RAP1 GTPase activating protein,human,
-2.352498843,5.698959261,-6.213940818,0.000009228026351,0.002132966915,206517_at,,39,206517_at,CDH16,1014,cadherin 16,human,
-1.934715129,9.499624798,-6.059109326,0.0000117882402,0.002588441899,210524_x_at,,40,210524_x_at,MT1F,4494,metallothionein 1F,human,This gene was not found by BIOGPS so I looked it up on Gene Enrichment Profiler
-1.848873813,4.927120098,-5.952054941,0.00001421499497,0.002976247677,217127_at,,41,217127_at,CTH,1491,cystathionine gamma-lyase,human,
-1.972266981,4.933604265,-5.906727972,0.00001557110888,0.003118499554,204513_s_at,,42,204513_s_at,ELMO1,9844,engulfment and cell motility 1,human,
-1.732389659,4.582774303,-5.886564139,0.00001588725197,0.003158674551,214308_s_at,,43,214308_s_at,HGD,3081,"homogentisate 1,2-dioxygenase",human,
-2.144768141,9.905819013,-5.883628249,0.00001645856521,0.00321382876,213629_x_at,,44,213629_x_at,MT1F,4494,metallothionein 1F,human,"Turns out it was the same gene as this one, it has alternative probes."
-1.13396897,6.908092774,-5.772513871,0.00001906027631,0.003544627915,203221_at,,45,203221_at,TLE1,7088,"TLE family member 1, transcriptional corepressor",human,
-1.736304289,4.705113608,-5.763947485,0.00001988451428,0.003657102889,205501_at,,46,205501_at,PDE10A,10846,phosphodiesterase 10A,human,
-1.468800004,5.42557527,-5.671113669,0.00002323309337,0.004097643161,213308_at,,47,213308_at,SHANK2,22941,SH3 and multiple ankyrin repeat domains 2,human,
-1.30798197,9.47147678,-5.623591197,0.00002519341214,0.004372856536,217853_at,,48,217853_at,TNS3,64759,tensin 3,human,
-1.817622048,5.41561336,-5.626532986,0.0000257728618,0.004445208893,210473_s_at,,49,210473_s_at,ADGRA3,166647,adhesion G protein-coupled receptor A3,human,
-1.868225728,6.525247419,-5.488321754,0.00003348708365,0.005322402031,204042_at,,50,204042_at,WASF3,10810,WASP family member 3,human,
-1.739435429,5.970834886,-5.458850273,0.00003506305247,0.005476722086,204288_s_at,,51,204288_s_at,SORBS2,8470,sorbin and SH3 domain containing 2,human,
-3.015731905,7.778860207,-5.516413488,0.00003506788552,0.005476722086,203980_at,,52,203980_at,FABP4,2167,fatty acid binding protein 4,human,
-2.816580362,7.343143475,-5.497319014,0.00003572587411,0.005528747845,210299_s_at,,53,210299_s_at,FHL1,2273,four and a half LIM domains 1,human,
-1.852592185,9.169849819,-5.403839273,0.00003921617388,0.005955956408,219049_at,,54,219049_at,CSGALNACT1,55790,chondroitin sulfate N-acetylgalactosaminyltransferase 1,human,
