Table of upregulated genes,,,,,,,,Table of gene symbols and names for upregulated genes,,,,,
This table was created by taking the consistently expressed genes in all 4 datasets and filtering for log2FC<-1 and p vlaue<0.05 in the limma output for Dataset 1. ,,,,,,,,This table was created by taking the geneID column from the table on the left and looking for the genes in BIOGPS. ,,,,,
logFC: estimate of the log2-fold-change corresponding to the contrast,AveExpr: average log2-expression for the probe over all arrays and channels,t: moderated t-statistic,P.Value: raw p-value,adj.P.Val: ajusted p-value,B: log-odds that the gene is differentially expressed,"Gene ID: affy probe ID, these were used to look for the gene symbols in BIOGPS ",,,the affy probe ID taken from geneID column from table on the left,Gene symbol,Gene ID,,
logFC,AveExpr,t,P.Value,adj.P.Val,B,geneID,,NO.,QUERY,SYMBOL,ID,NAME,SPECIES
2.673374204,7.556615162,14.52493365,0.0000000003404126102,0.000003679708899,13.15017505,212611_at,,1,212611_at,DTX4,23220,deltex E3 ubiquitin ligase 4,human
2.38995258,10.42107814,14.05469066,0.0000000005384119103,0.000003679708899,12.7693974,207808_s_at,,2,207808_s_at,PROS1,5627,protein S,human
3.549535241,6.390249268,11.78224703,0.000000006056012452,0.00001173881045,10.68254552,203717_at,,3,203717_at,DPP4,1803,dipeptidyl peptidase 4,human
2.466354408,6.767875674,11.00038585,0.00000001523808127,0.00002192479193,9.856702589,203355_s_at,,4,203355_s_at,PSD3,23362,pleckstrin and Sec7 domain containing 3,human
1.489662166,11.44697978,10.91385049,0.00000001693073602,0.00002373558954,9.761491203,200701_at,,5,200701_at,NPC2,10577,NPC intracellular cholesterol transporter 2,human
4.838021406,8.085768529,10.62216663,0.00000002426671587,0.00002790094155,9.434725952,204124_at,,6,204124_at,SLC34A2,10568,solute carrier family 34 member 2,human
3.273375107,6.246795723,10.49136736,0.00000002858979286,0.00003184972603,9.285215379,205328_at,,7,205328_at,CLDN10,9071,claudin 10,human
3.916645452,7.590868757,10.4527391,0.00000003001720454,0.00003218020898,9.240702236,207144_s_at,,8,207144_s_at,CITED1,4435,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1,human
2.107308305,9.70691163,10.36306297,0.00000003362996929,0.00003418119517,9.136727092,208949_s_at,,9,208949_s_at,LGALS3,3958,galectin 3,human
2.275977823,5.798823575,10.31166277,0.00000003590585518,0.00003569368422,9.076726825,209474_s_at,,10,209474_s_at,ENTPD1,953,ectonucleoside triphosphate diphosphohydrolase 1,human
