Table of upregulated genes,,,,,,,Table of gene symbols and names for upregulated genes,,,,,
This table was created by taking the consistently expressed genes in all 4 datasets and filtering for log2FC<-1 and p vlaue<0.05 in the limma output for Dataset 1. ,,,,,,,This table was created by taking the geneID column from the table on the left and looking for the genes in BIOGPS. ,,,,,
logFC: estimate of the log2-fold-change corresponding to the contrast,AveExpr: average log2-expression for the probe over all arrays and channels,t: moderated t-statistic,P.Value: raw p-value,adj.P.Val: ajusted p-value,"Gene ID: affy probe ID, these were used to look for the gene symbols in BIOGPS ",,,the affy probe ID taken from geneID column from table on the left,Gene symbol,Gene ID,,
logFC,AveExpr,t,P.Value,adj.P.Val,geneID,,NO.,QUERY,SYMBOL,ID,NAME,SPECIES
2.673374204,7.556615162,13.09581935,0.0000000007611266965,0.000007091565939,212611_at,,1,212611_at,DTX4,23220,deltex E3 ubiquitin ligase 4,human
2.38995258,10.42107814,12.50785361,0.000000001406010574,0.000007687362816,207808_s_at,,2,207808_s_at,PROS1,5627,protein S,human
3.549535241,6.390249268,10.90913657,0.000000009658715244,0.00002112361024,203717_at,,3,203717_at,DPP4,1803,dipeptidyl peptidase 4,human
4.838021406,8.085768529,10.04465879,0.00000003132306612,0.00005037025411,204124_at,,4,204124_at,SLC34A2,10568,solute carrier family 34 member 2,human
2.466354408,6.767875674,9.827204925,0.00000003564532381,0.00005413633553,203355_s_at,,5,203355_s_at,PSD3,23362,pleckstrin and Sec7 domain containing 3,human
3.916645452,7.590868757,9.750753165,0.00000004362686134,0.00006241097709,207144_s_at,,6,207144_s_at,CITED1,4435,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1,human
3.273375107,6.246795723,9.648326005,0.00000004788202631,0.00006241097709,205328_at,,7,205328_at,CLDN10,9071,claudin 10,human
3.557748299,9.688165087,9.437353245,0.00000006506987927,0.00006841722402,211429_s_at,,8,211429_s_at,SERPINA1,5265,serpin family A member 1,human
2.275977823,5.798823575,9.119945494,0.00000009241593235,0.00008864633511,209474_s_at,,9,209474_s_at,ENTPD1,953,ectonucleoside triphosphate diphosphohydrolase 1,human
2.107308305,9.70691163,9.069544546,0.00000009818974613,0.000092560765,208949_s_at,,10,208949_s_at,LGALS3,3958,galectin 3,human
1.489662166,11.44697978,8.986757053,0.0000001073402281,0.00009947164361,200701_at,,11,200701_at,NPC2,10577,NPC intracellular cholesterol transporter 2,human
3.338939257,4.712255647,8.821406808,0.0000001521566309,0.0001299869343,214702_at,,12,214702_at,FN1,2335,fibronectin 1,human
2.704380336,6.652550364,8.721431005,0.0000001678931174,0.0001390841848,205174_s_at,,13,205174_s_at,QPCT,25797,glutaminyl-peptide cyclotransferase,human
4.292096492,8.765545421,8.783115305,0.0000001716532742,0.0001400767577,202833_s_at,,14,202833_s_at,SERPINA1,5265,serpin family A member 1,human
1.860148646,7.050678129,8.568132933,0.0000001989675429,0.000157754033,203854_at,,15,203854_at,CFI,3426,complement factor I,human
2.318565314,6.617360923,8.535528586,0.0000002144216846,0.0001651197973,203256_at,,16,203256_at,CDH3,1001,cadherin 3,human
3.132907637,6.605979372,8.472618738,0.0000002493572639,0.0001817814454,212992_at,,17,212992_at,AHNAK2,113146,AHNAK nucleoprotein 2,human
3.298248045,10.7417057,8.380766367,0.0000002893022638,0.0002036372479,216442_x_at,,18,216442_x_at,FN1,2335,fibronectin 1,human
2.159263529,7.966794253,8.245915115,0.0000003264304408,0.0002176534677,37408_at,,19,37408_at,MRC2,9902,mannose receptor C type 2,human
4.064464509,5.56557461,8.31977028,0.0000003345192214,0.0002203594992,209792_s_at,,20,209792_s_at,KLK10,5655,kallikrein related peptidase 10,human
5.295014649,8.495259585,8.268136054,0.000000389323661,0.0002487946834,221266_s_at,,21,221266_s_at,DCSTAMP,81501,dendrocyte expressed seven transmembrane protein,human
1.901543943,6.073910838,7.901411648,0.0000005435849914,0.0003095886397,205016_at,,22,205016_at,TGFA,7039,transforming growth factor alpha,human
3.231112876,10.7633103,7.94419881,0.0000005585704782,0.0003116310296,210495_x_at,,23,210495_x_at,FN1,2335,fibronectin 1,human
2.181249482,6.449302252,7.86117905,0.0000005884256279,0.0003217217121,207691_x_at,,24,207691_x_at,ENTPD1,953,ectonucleoside triphosphate diphosphohydrolase 1,human
1.667635462,9.190447642,7.82349726,0.0000006062731988,0.0003281978925,203786_s_at,,25,203786_s_at,TPD52L1,7164,TPD52 like 1,human
1.180901836,6.141079764,7.777496414,0.0000006419639044,0.000335425753,202528_at,,26,202528_at,GALE,2582,UDP-galactose-4-epimerase,human
3.345118486,10.70378445,7.800536084,0.0000007043652215,0.0003599174625,212464_s_at,,27,212464_s_at,FN1,2335,fibronectin 1,human
2.854913084,6.639681545,7.768622454,0.0000007136098001,0.0003612649613,208161_s_at,,28,208161_s_at,ABCC3,8714,ATP binding cassette subfamily C member 3,human
1.847642042,8.44780559,7.63729636,0.0000008188273881,0.000392713925,209473_at,,29,209473_at,ENTPD1,953,ectonucleoside triphosphate diphosphohydrolase 1,human
2.140696564,10.70205062,7.592837315,0.0000008941899799,0.0004164368773,218309_at,,30,218309_at,CAMK2N1,55450,calcium/calmodulin dependent protein kinase II inhibitor 1,human
3.881410224,6.300720228,7.436492177,0.000001306018239,0.0005492811323,208025_s_at,,31,208025_s_at,HMGA2,8091,high mobility group AT-hook 2,human
1.680131258,7.161080745,7.165515624,0.000001734901544,0.0006873604486,213422_s_at,,32,213422_s_at,MXRA8,54587,matrix remodeling associated 8,human
1.186975709,9.684948854,7.12691071,0.000001818391095,0.0007101466653,222294_s_at,,33,222294_s_at,RAB27A,5873,"RAB27A, member RAS oncogene family",human
2.065483305,6.775473167,7.14317639,0.000001840455798,0.0007136661047,209270_at,,34,209270_at,LAMB3,3914,laminin subunit beta 3,human
